NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.8974,NaN,-3.0686,NaN,-2.7897,-2.593,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4138,2.5461,2.8401,NaN,NaN,NaN,NaN,-2.7897,NaN,-2.458,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.05,2.0092,2.5258,1.9094,2.7293,-0.039072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,-2.8683,NaN,1.4593,NaN,NaN,1.8499,NaN,NaN,-2.7693,2.9691,3.1258,NaN,NaN,NaN,NaN,-1.6409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.0326,-1.7721,-1.8652,-1.8924,-3.1192,-2.9334,-2.9282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-1.2161,NaN,NaN,NaN,NaN,NaN,NaN,1.5539,1.0175,-0.7041,-1.8809,NaN,NaN,NaN,-2.904,-2.8995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,-0.46629,-1.4424,NaN,NaN,NaN,2.5811,NaN,1.3995,NaN,NaN,-2.5267,NaN,NaN,NaN,NaN,2.7013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,-1.7509,NaN,NaN,-0.80547,-1.1042,NaN,NaN,NaN,1.6831,1.6831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1957,NaN,NaN,-1.4762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,-0.48412,NaN,NaN,-1.5031,NaN,-1.5631,0.31623,2.8567,NaN,2.7617,2.7174,NaN,2.5571,2.2729,NaN,1.151,NaN,NaN,NaN,NaN,-0.41359,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
