NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.044712,0.033522,0.15411,0.24363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.36348,0.24224,NaN,NaN,0.033522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.52169,0.50688,0.50621,NaN,NaN,NaN,NaN,NaN,0.25106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.27144,0.19977,0.27144,0.04267,0.04267,0.04267,0.29658,0.42588,0.59826,0.64789,0.65907,NaN,NaN,NaN,NaN,0.26816,0.26816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.27144,NaN,NaN,NaN,NaN,NaN,NaN,0.43695,0.59278,NaN,0.40088,0.29752,0.16484,NaN,NaN,NaN,0.2143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.35529,0.54615,0.65683,0.46448,0.21416,0.17573,0.11075,NaN,NaN,0.06321,0.06321,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.31809,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2381,0.31489,0.37795,NaN,0.3493,0.21979,0.11956,NaN,0.085752,0.0019269,NaN,2.2204e-17,2.7756e-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.31809,0.23214,NaN,NaN,0.24264,0.16439,0.21324,0.095732,NaN,0.30701,0.35107,0.4536,0.27597,0.29171,0.15842,0.10997,0.0019269,0.084139,NaN,NaN,0.00044176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.091412,0.072954,NaN,0.13073,NaN,0.095945,0.32293,0.37037,0.36808,NaN,NaN,0.30931,0.18573,NaN,NaN,NaN,0.27089,0.24662,NaN,0.051805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,0.091412,NaN,0.32666,NaN,NaN,NaN,0.12581,0.32492,NaN,0.39,NaN,NaN,0.16481,NaN,NaN,NaN,0.40057,NaN,0.27731,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,2.7756e-17,NaN,NaN,0.10602,0.10473,0.027854,0.10517,0.20937,0.30602,0.25642,NaN,NaN,0,NaN,NaN,NaN,0.39639,0.35138,NaN,0.2016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
0.2332,0.17328,NaN,0.0016083,0.10664,NaN,0.20009,0.14324,0.18923,0.20353,0.25475,0.21776,0.14108,NaN,0.16445,NaN,0.1732,0.11631,NaN,NaN,0.31579,0.17412,0.21437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,0.2332,NaN,0.0016083,NaN,0.20503,NaN,0.22268,0.26582,0.20442,0.23552,0.18717,NaN,0.03494,0.27636,0.33454,0.27673,0.22357,0.16747,NaN,NaN,NaN,0.0045938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,0.26048,0.20589,0.40658,NaN,0.3976,0.2933,0.22732,NaN,NaN,NaN,NaN,0.26797,0.27472,0.25754,0.38266,NaN,NaN,NaN,0.0076564,0.18204,0.30804,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,NaN,NaN,0.46317,0.29346,0.35793,0.28455,0.2327,0.16564,NaN,0.049451,0.26172,0.27534,0.29993,0.36792,NaN,0.6673,NaN,NaN,NaN,NaN,0.18783,NaN,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,1.4053e-05,1.4053e-05,NaN,NaN,0.25054,0.31293,0.20869,NaN,0.24323,0.15375,NaN,NaN,0.11419,0.15515,NaN,0.54035,NaN,0.57011,0.33376,NaN,NaN,0.37422,0.3671,NaN,NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,0.0002548,NaN,NaN,0.27527,0.26116,0.2632,0.21034,NaN,0.26605,NaN,0,NaN,0.21641,0.1676,0.20999,0.34906,0.48029,0.51491,NaN,0.54244,NaN,0.39407,NaN,0.33208,NaN,NaN,NaN,NaN,0
